transaction_id,gl_account,amount,period,entity,business_unit,project
budget-6000-P03-3,6000,-6000.00,3,FIRM,CONSULTING,
budget-6100-P03-1,6100,-15000.00,3,FIRM,CONSULTING,
budget-6200-P03-1,6200,-25000.00,3,FIRM,CONSULTING,
budget-6300-P03-1,6300,-8000.00,3,FIRM,CONSULTING,
budget-7000-P03-1,7000,-18000.00,3,FIRM,CONSULTING,
budget-7100-P03-1,7100,-3000.00,3,FIRM,CONSULTING,
budget-7200-P03-1,7200,-6000.00,3,FIRM,CONSULTING,
budget-7300-P03-1,7300,-12000.00,3,FIRM,CONSULTING,
budget-8000-P03-1,8000,-5000.00,3,FIRM,CONSULTING,
budget-8100-P03-1,8100,-1500.00,3,FIRM,CONSULTING,
budget-8200-P03-1,8200,-8000.00,3,FIRM,CONSULTING,
budget-4000-P04-1,4000,230000.00,4,FIRM,CONSULTING,
budget-4100-P04-1,4100,45000.00,4,FIRM,CONSULTING,
budget-5000-P04-1,5000,-10000.00,4,FIRM,CONSULTING,
budget-5100-P04-1,5100,-8000.00,4,FIRM,CONSULTING,
budget-5200-P04-1,5200,-7000.00,4,FIRM,CONSULTING,
budget-5300-P04-1,5300,-5000.00,4,FIRM,CONSULTING,
budget-6000-P04-1,6000,-120000.00,4,FIRM,CONSULTING,
budget-6000-P04-2,6000,-6000.00,4,FIRM,CONSULTING,
budget-6000-P04-3,6000,-6000.00,4,FIRM,CONSULTING,
budget-6100-P04-1,6100,-15000.00,4,FIRM,CONSULTING,
budget-6200-P04-1,6200,-25000.00,4,FIRM,CONSULTING,
budget-6300-P04-1,6300,-8000.00,4,FIRM,CONSULTING,
budget-7000-P04-1,7000,-18000.00,4,FIRM,CONSULTING,
budget-7100-P04-1,7100,-3000.00,4,FIRM,CONSULTING,
budget-7200-P04-1,7200,-6000.00,4,FIRM,CONSULTING,
budget-7300-P04-1,7300,-12000.00,4,FIRM,CONSULTING,
budget-8000-P04-1,8000,-5000.00,4,FIRM,CONSULTING,
budget-8100-P04-1,8100,-1500.00,4,FIRM,CONSULTING,
budget-8200-P04-1,8200,-8000.00,4,FIRM,CONSULTING,
budget-4000-P05-1,4000,230000.00,5,FIRM,CONSULTING,
budget-4100-P05-1,4100,45000.00,5,FIRM,CONSULTING,
budget-5000-P05-1,5000,-10000.00,5,FIRM,CONSULTING,
budget-5100-P05-1,5100,-8000.00,5,FIRM,CONSULTING,
budget-5200-P05-1,5200,-7000.00,5,FIRM,CONSULTING,
budget-5300-P05-1,5300,-5000.00,5,FIRM,CONSULTING,
budget-6000-P05-1,6000,-120000.00,5,FIRM,CONSULTING,
budget-6000-P05-2,6000,-6000.00,5,FIRM,CONSULTING,
budget-6000-P05-3,6000,-6000.00,5,FIRM,CONSULTING,
budget-6100-P05-1,6100,-15000.00,5,FIRM,CONSULTING,
budget-6200-P05-1,6200,-25000.00,5,FIRM,CONSULTING,
budget-6300-P05-1,6300,-8000.00,5,FIRM,CONSULTING,
budget-7000-P05-1,7000,-18000.00,5,FIRM,CONSULTING,
budget-7100-P05-1,7100,-3000.00,5,FIRM,CONSULTING,
budget-7200-P05-1,7200,-6000.00,5,FIRM,CONSULTING,
budget-7300-P05-1,7300,-12000.00,5,FIRM,CONSULTING,
budget-8000-P05-1,8000,-5000.00,5,FIRM,CONSULTING,
budget-8100-P05-1,8100,-1500.00,5,FIRM,CONSULTING,
budget-8200-P05-1,8200,-8000.00,5,FIRM,CONSULTING,
budget-4000-P06-1,4000,230000.00,6,FIRM,CONSULTING,
budget-4100-P06-1,4100,45000.00,6,FIRM,CONSULTING,
budget-5000-P06-1,5000,-10000.00,6,FIRM,CONSULTING,
budget-5100-P06-1,5100,-8000.00,6,FIRM,CONSULTING,
budget-5200-P06-1,5200,-7000.00,6,FIRM,CONSULTING,
budget-5300-P06-1,5300,-5000.00,6,FIRM,CONSULTING,
budget-6000-P06-1,6000,-120000.00,6,FIRM,CONSULTING,
budget-6000-P06-2,6000,-6000.00,6,FIRM,CONSULTING,
budget-6000-P06-3,6000,-6000.00,6,FIRM,CONSULTING,
budget-6100-P06-1,6100,-15000.00,6,FIRM,CONSULTING,
budget-6200-P06-1,6200,-25000.00,6,FIRM,CONSULTING,
budget-6300-P06-1,6300,-8000.00,6,FIRM,CONSULTING,
budget-7000-P06-1,7000,-18000.00,6,FIRM,CONSULTING,
budget-7100-P06-1,7100,-3000.00,6,FIRM,CONSULTING,
budget-7200-P06-1,7200,-6000.00,6,FIRM,CONSULTING,
budget-7300-P06-1,7300,-12000.00,6,FIRM,CONSULTING,
budget-8000-P06-1,8000,-5000.00,6,FIRM,CONSULTING,
budget-8100-P06-1,8100,-1500.00,6,FIRM,CONSULTING,
budget-8200-P06-1,8200,-8000.00,6,FIRM,CONSULTING,
budget-4000-P07-1,4000,230000.00,7,FIRM,CONSULTING,
budget-4100-P07-1,4100,45000.00,7,FIRM,CONSULTING,
budget-5000-P07-1,5000,-10000.00,7,FIRM,CONSULTING,
budget-5100-P07-1,5100,-8000.00,7,FIRM,CONSULTING,
budget-5200-P07-1,5200,-7000.00,7,FIRM,CONSULTING,
budget-5300-P07-1,5300,-5000.00,7,FIRM,CONSULTING,
budget-6000-P07-1,6000,-120000.00,7,FIRM,CONSULTING,
budget-6000-P07-2,6000,-6000.00,7,FIRM,CONSULTING,
budget-6000-P07-3,6000,-6000.00,7,FIRM,CONSULTING,
budget-6100-P07-1,6100,-15000.00,7,FIRM,CONSULTING,
budget-6200-P07-1,6200,-25000.00,7,FIRM,CONSULTING,
budget-6300-P07-1,6300,-8000.00,7,FIRM,CONSULTING,
budget-7000-P07-1,7000,-18000.00,7,FIRM,CONSULTING,
budget-7100-P07-1,7100,-3000.00,7,FIRM,CONSULTING,
budget-7200-P07-1,7200,-6000.00,7,FIRM,CONSULTING,
budget-7300-P07-1,7300,-12000.00,7,FIRM,CONSULTING,
budget-8000-P07-1,8000,-5000.00,7,FIRM,CONSULTING,
budget-8100-P07-1,8100,-1500.00,7,FIRM,CONSULTING,
budget-8200-P07-1,8200,-8000.00,7,FIRM,CONSULTING,
budget-4000-P08-1,4000,230000.00,8,FIRM,CONSULTING,
budget-4100-P08-1,4100,45000.00,8,FIRM,CONSULTING,
budget-5000-P08-1,5000,-10000.00,8,FIRM,CONSULTING,
budget-5100-P08-1,5100,-8000.00,8,FIRM,CONSULTING,
budget-5200-P08-1,5200,-7000.00,8,FIRM,CONSULTING,
budget-5300-P08-1,5300,-5000.00,8,FIRM,CONSULTING,
budget-6000-P08-1,6000,-120000.00,8,FIRM,CONSULTING,
budget-6000-P08-2,6000,-6000.00,8,FIRM,CONSULTING,
budget-6000-P08-3,6000,-6000.00,8,FIRM,CONSULTING,
budget-6100-P08-1,6100,-15000.00,8,FIRM,CONSULTING,
budget-6200-P08-1,6200,-25000.00,8,FIRM,CONSULTING,
budget-6300-P08-1,6300,-8000.00,8,FIRM,CONSULTING,
budget-7000-P08-1,7000,-18000.00,8,FIRM,CONSULTING,
budget-7100-P08-1,7100,-3000.00,8,FIRM,CONSULTING,
budget-7200-P08-1,7200,-6000.00,8,FIRM,CONSULTING,
budget-7300-P08-1,7300,-12000.00,8,FIRM,CONSULTING,
budget-8000-P08-1,8000,-5000.00,8,FIRM,CONSULTING,
budget-8100-P08-1,8100,-1500.00,8,FIRM,CONSULTING,
budget-8200-P08-1,8200,-8000.00,8,FIRM,CONSULTING,
budget-4000-P09-1,4000,230000.00,9,FIRM,CONSULTING,
budget-4100-P09-1,4100,45000.00,9,FIRM,CONSULTING,
budget-5000-P09-1,5000,-10000.00,9,FIRM,CONSULTING,
budget-5100-P09-1,5100,-8000.00,9,FIRM,CONSULTING,
budget-5200-P09-1,5200,-7000.00,9,FIRM,CONSULTING,
budget-5300-P09-1,5300,-5000.00,9,FIRM,CONSULTING,
budget-6000-P09-1,6000,-120000.00,9,FIRM,CONSULTING,
budget-6000-P09-2,6000,-6000.00,9,FIRM,CONSULTING,
budget-6000-P09-3,6000,-6000.00,9,FIRM,CONSULTING,
budget-6100-P09-1,6100,-15000.00,9,FIRM,CONSULTING,
budget-6200-P09-1,6200,-25000.00,9,FIRM,CONSULTING,
budget-6300-P09-1,6300,-8000.00,9,FIRM,CONSULTING,
budget-7000-P09-1,7000,-18000.00,9,FIRM,CONSULTING,
budget-7100-P09-1,7100,-3000.00,9,FIRM,CONSULTING,
budget-7200-P09-1,7200,-6000.00,9,FIRM,CONSULTING,
budget-7300-P09-1,7300,-12000.00,9,FIRM,CONSULTING,
budget-8000-P09-1,8000,-5000.00,9,FIRM,CONSULTING,
budget-8100-P09-1,8100,-1500.00,9,FIRM,CONSULTING,
budget-8200-P09-1,8200,-8000.00,9,FIRM,CONSULTING,
budget-4000-P10-1,4000,230000.00,10,FIRM,CONSULTING,
budget-4100-P10-1,4100,45000.00,10,FIRM,CONSULTING,
budget-5000-P10-1,5000,-10000.00,10,FIRM,CONSULTING,
budget-5100-P10-1,5100,-8000.00,10,FIRM,CONSULTING,
budget-5200-P10-1,5200,-7000.00,10,FIRM,CONSULTING,
budget-5300-P10-1,5300,-5000.00,10,FIRM,CONSULTING,
budget-6000-P10-1,6000,-120000.00,10,FIRM,CONSULTING,
budget-6000-P10-2,6000,-6000.00,10,FIRM,CONSULTING,
budget-6000-P10-3,6000,-6000.00,10,FIRM,CONSULTING,
budget-6100-P10-1,6100,-15000.00,10,FIRM,CONSULTING,
budget-6200-P10-1,6200,-25000.00,10,FIRM,CONSULTING,
budget-6300-P10-1,6300,-8000.00,10,FIRM,CONSULTING,
budget-7000-P10-1,7000,-18000.00,10,FIRM,CONSULTING,
budget-7100-P10-1,7100,-3000.00,10,FIRM,CONSULTING,
budget-7200-P10-1,7200,-6000.00,10,FIRM,CONSULTING,
budget-7300-P10-1,7300,-12000.00,10,FIRM,CONSULTING,
budget-8000-P10-1,8000,-5000.00,10,FIRM,CONSULTING,
budget-8100-P10-1,8100,-1500.00,10,FIRM,CONSULTING,
budget-8200-P10-1,8200,-8000.00,10,FIRM,CONSULTING,
budget-4000-P11-1,4000,230000.00,11,FIRM,CONSULTING,
budget-4100-P11-1,4100,45000.00,11,FIRM,CONSULTING,
budget-5000-P11-1,5000,-10000.00,11,FIRM,CONSULTING,
budget-5100-P11-1,5100,-8000.00,11,FIRM,CONSULTING,
budget-5200-P11-1,5200,-7000.00,11,FIRM,CONSULTING,
budget-5300-P11-1,5300,-5000.00,11,FIRM,CONSULTING,
budget-6000-P11-1,6000,-120000.00,11,FIRM,CONSULTING,
budget-6000-P11-2,6000,-6000.00,11,FIRM,CONSULTING,
budget-6000-P11-3,6000,-6000.00,11,FIRM,CONSULTING,
budget-6100-P11-1,6100,-15000.00,11,FIRM,CONSULTING,
budget-6200-P11-1,6200,-25000.00,11,FIRM,CONSULTING,
budget-6300-P11-1,6300,-8000.00,11,FIRM,CONSULTING,
budget-7000-P11-1,7000,-18000.00,11,FIRM,CONSULTING,
budget-7100-P11-1,7100,-3000.00,11,FIRM,CONSULTING,
budget-7200-P11-1,7200,-6000.00,11,FIRM,CONSULTING,
budget-7300-P11-1,7300,-12000.00,11,FIRM,CONSULTING,
budget-8000-P11-1,8000,-5000.00,11,FIRM,CONSULTING,
budget-8100-P11-1,8100,-1500.00,11,FIRM,CONSULTING,
budget-8200-P11-1,8200,-8000.00,11,FIRM,CONSULTING,
budget-4000-P12-1,4000,230000.00,12,FIRM,CONSULTING,
budget-4100-P12-1,4100,45000.00,12,FIRM,CONSULTING,
budget-5000-P12-1,5000,-10000.00,12,FIRM,CONSULTING,
budget-5100-P12-1,5100,-8000.00,12,FIRM,CONSULTING,
budget-5200-P12-1,5200,-7000.00,12,FIRM,CONSULTING,
budget-5300-P12-1,5300,-5000.00,12,FIRM,CONSULTING,
budget-6000-P12-1,6000,-120000.00,12,FIRM,CONSULTING,
budget-6000-P12-2,6000,-6000.00,12,FIRM,CONSULTING,
budget-6000-P12-3,6000,-6000.00,12,FIRM,CONSULTING,
budget-6100-P12-1,6100,-15000.00,12,FIRM,CONSULTING,
budget-6200-P12-1,6200,-25000.00,12,FIRM,CONSULTING,
budget-6300-P12-1,6300,-8000.00,12,FIRM,CONSULTING,
budget-7000-P12-1,7000,-18000.00,12,FIRM,CONSULTING,
budget-7100-P12-1,7100,-3000.00,12,FIRM,CONSULTING,
budget-7200-P12-1,7200,-6000.00,12,FIRM,CONSULTING,
budget-7300-P12-1,7300,-12000.00,12,FIRM,CONSULTING,
budget-8000-P12-1,8000,-5000.00,12,FIRM,CONSULTING,
budget-8100-P12-1,8100,-1500.00,12,FIRM,CONSULTING,
budget-8200-P12-1,8200,-8000.00,12,FIRM,CONSULTING,
